Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
6667000;666700;Pérdidas en part. y val.repr.deuda C/P,otras vinc.;666700;Pérdidas en valores representativos de deuda a corto plazo, otras partes vinculadas
6668000;666800;Pérdidas en part. y val.repr.deuda C/P,otras emp.;666800;Pérdidas en valores representativos de deuda a corto plazo, otras empresas
6670000;667000;Pérdidas de créditos a L/P, grupo;667000;Pérdidas de créditos, empresas del grupo
6671000;667100;Pérdidas de créditos a L/P, asoc.;667100;Pérdidas de créditos, empresas asociadas
6672000;667200;Pérdidas de créditos a L/P, otras vinc.;667200;Pérdidas de créditos, otras partes vinculadas
6673000;667300;Pérdidas de créditos a L/P, otras emp.;667300;Pérdidas de créditos, otras empresas
6675000;667500;Pérdidas de créditos a C/P, grupo;667500;Pérdidas de créditos a corto plazo, empresas del grupo
6676000;667600;Pérdidas de créditos a C/P, asoc.;667600;Pérdidas de créditos a corto plazo, empresas asociadas
6677000;667700;Pérdidas de créditos a C/P, otras vinc.;667700;Pérdidas de créditos a corto plazo, otras partes vinculadas
6678000;667800;Pérdidas de créditos a C/P, de otras emp.;667800;Pérdidas de créditos a corto plazo, otras empresas
6680000;668000;Diferencias negativas de cambio;668000;Diferencias negativas de cambio
6690000;669000;Otros gastos financieros;669000;Otros gastos financieros
6700000;670000;Pérdidas procedentes del inmovilizado intangible;670000;Pérdidas procedentes del inmovilizado intangible
6710000;671000;Pérdidas procedentes del inmovilizado material;671000;Pérdidas procedentes del inmovilizado material
6720000;672000;Pérdidas procedentes de inversiones inmobiliarias;672000;Pérdidas procedentes de las inversiones inmobiliarias
6733000;673300;Pérdidas procedentes de participaciones L/P, grupo;673300;Pérdidas procedentes de participaciones en, empresas del grupo
6734000;673400;Pérdidas procedentes de participaciones L/P, asoc.;673400;Pérdidas procedentes de participaciones, empresas asociadas
6735000;673500;Pérdidas procedentes de participac. L/P otras vinc;673500;Pérdidas procedentes de participaciones, otras partes vinculadas
6750000;675000;Pérdidas por operaciones con obligaciones propias;675000;Pérdidas por operaciones con obligaciones propias
6780000;678000;Gastos excepcionales;678000;Gastos excepcionales
6800000;680000;Amortización del inmovilizado intangible;680000;Amortización del inmovilizado intangible
6810000;681000;Amortización del inmovilizado material;681000;Amortización del inmovilizado material
6820000;682000;Amortización de las inversiones inmobiliarias;682000;Amortización de las inversiones inmobiliarias
6900000;690000;Pérdidas por deterioro del inmovilizado intangible;690000;Pérdidas por deterioro del inmovilizado intangible
6907000;690700;Pérdidas por deterioro valor derechos emisión GEI ;;
6910000;691000;Pérdidas por deterioro del inmovilizado material;691000;Pérdidas por deterioro del inmovilizado material
6920000;692000;Pérd. deterioro de las inversiones inmobiliarias;692000;Pérdidas por deterioro de las inversiones inmobiliarias
6930000;693000;Pérd. deterioro prod.terminados y en curso fabric.;693000;Pérdidas por deterioro de productos terminados y en curso de fabricación
6931000;693100;Pérdidas por deterioro de mercaderías;693100;Pérdidas por deterioro de mercaderías
6932000;693200;Pérdidas por deterioro de materias primas;693200;Pérdidas por deterioro de materias primas
6933000;693300;Pérdidas por deterioro de otros aprovisionamientos;693300;Pérdidas por deterioro de otros aprovisionamientos
6940000;694000;Pérdidas por deterioro créditos operaciones ccial;694000;Pérdidas por deterioro de créditos por operaciones comerciales
6954000;695400;Dotación a la provisión por contratos onerosos;695400;Dotación a la provisión por contratos onerosos
6959000;695900;Dotación a la provisión para otras operac.cciales.;695900;Dotación a la provisión para otras operaciones comerciales
6960000;696000;Pérd.deterioro partic.instr. Patr.Neto a L/P grupo;696000;Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto, empresas del grupo
6961000;696100;Pérd.deterioro partic.instr. Patr.Neto a L/P asoc.;696100;Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto, empresas asociadas
6962000;696200;Pérd.deterioro partic.instr. Patr.Neto L/P ot.vinc;696200;Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto, otras partes vinculadas
6963000;696300;Pérd.deterioro partic.instr. Patr.Neto L/P ot.emp.;696300;Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto, otras empresas
6965000;696500;Pérd.deterioro valores repres.deuda L/P, grupo;696500;Pérdidas por deterioro en valores representativos de deuda, empresas del grupo
6966000;696600;Pérd. deterioro valores repres.deuda L/P, asoc.;696600;Pérdidas por deterioro en valores representativos de deuda, empresas asociadas
6967000;696700;Pérdidas deter.valores repres.deuda L/P,otras vinc;696700;Pérdidas por deterioro en valores representativos de deuda, otras partes vinculadas
6968000;696800;Pérd. deter.en val. repre.deuda a L/P, otras emp.;696800;Pérdidas por deterioro en valores representativos de deuda, otras empresas
6970000;697000;Pérdidas por deterioro de créditos a L/P, grupo;697000;Pérdidas por deterioro de créditos, empresas del grupo
6971000;697100;Pérdidas por deterioro de créditos a L/P, asoc.;697100;Pérdidas por deterioro de créditos, empresas asociadas
6972000;697200;Pérdidas deterioro de créditos a L/P, otras vinc.;697200;Pérdidas por deterioro de créditos, otras partes vinculadas
6973000;697300;Pérdidas deterioro de créditos a L/P, otras emp.;697300;Pérdidas por deterioro de créditos, otras empresas
6980000;698000;Pérd. deterioro partic. instr. Pat.Neto C/P, grupo;698000;Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo
6981000;698100;Pérd. deterioro partic. instr. Pat.Neto C/P, asoc.;698100;Pérdidas por deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas
6985000;698500;Pérd. deterioro en val.repres.deuda C/P, grupo;698500;Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas del grupo
6986000;698600;Pérd. deterioro en val. repres.deuda C/P, asoc.;698600;Pérdidas por deterioro en valores representativos de deuda a corto plazo, empresas asociadas
6987000;698700;Pérd. deter.en val. repres.deuda C/P, otras vinc.;698700;Pérdidas por deterioro en valores representativos de deuda a corto plazo, otras partes vinculadas
6988000;698800;Pérd. deter.en val. repres.deuda C/P, otras emp.;698800;Pérdidas por deterioro en valores representativos de deuda a corto plazo, otras empresas
6990000;699000;Pérdidas por deterioro de créditos a C/P, grupo;699000;Pérdidas por deterioro de créditos a corto plazo, empresas del grupo
6991000;699100;Pérdidas por deterioro de créditos a C/P, asoc.;699100;Pérdidas por deterioro de créditos a corto plazo, empresas asociadas
6992000;699200;Pérdidas deterioro de créditos a C/P, otras vinc.;699200;Pérdidas por deterioro de créditos a corto plazo, otras partes vinculadas
6993000;699300;Pérdidas deterioro de créditos a C/P, otras emp.;699300;Pérdidas por deterioro de créditos a corto plazo, otras empresas
7000000;700000;Ventas de mercaderías;700000;Ventas de mercaderías en España
7010000;701000;Ventas de productos terminados;701000;Ventas de productos terminados en España
7020000;702000;Ventas de productos semiterminados;702000;Ventas de productos semiterminados en España
7030000;703000;Ventas de subproductos y residuos;703000;Ventas de subproductos y residuos en España
7040000;704000;Ventas de envases y embalajes;704000;Ventas de envases y embalajes en España
7050000;705000;Prestaciones de servicios;705000;Prestaciones de servicios en España
7060000;706000;Descuentos sobre ventas por p.p.de mercaderías;706000;Descuentos sobre ventas por pronto pago de mercaderías
7061000;706100;Dtos. sobre ventas por p.p. produc.terminados;706100;Descuentos sobre ventas por pronto pago de productos terminados
7062000;706200;Dtos. sobre ventas por p.p. produc.semiterminados;706200;Descuentos sobre ventas por pronto pago de productos semiterminados
7063000;706300;Descuentos s/ventas p.pago subproductos y residuos;706300;Descuentos sobre ventas por pronto pago de subproductos y residuos
7080000;708000;Devoluciones de ventas de mercaderías;708000;Devoluciones de ventas de mercaderías
7081000;708100;Devoluciones de ventas de productos terminados;708100;Devoluciones de ventas de productos terminados
7082000;708200;Devoluciones de ventas de productos semiterminados;708200;Devoluciones de ventas de productos semiterminados
7083000;708300;Devoluciones de ventas de subproductos y residuos;708300;Devoluciones de ventas de subproductos y residuos
7084000;708400;Devoluciones de ventas de envases y embalajes;708400;Devoluciones de ventas de envases y embalajes
7090000;709000;"""Rappels"" sobre ventas de mercaderías";709000;"""Rappels"" sobre ventas de mercaderías"
7091000;709100;"""Rappels"" sobre ventas de productos terminados";709100;"""Rappels"" sobre ventas de productos terminados"
7092000;709200;"""Rappels"" sobre ventas de productos semiterminados";709200;"""Rappels"" sobre ventas de productos semiterminados"
7093000;709300;"""Rappels"" sobre ventas de subproductos y residuos";709300;"""Rappels"" sobre ventas de subproductos y residuos"
7094000;709400;"""Rappels"" sobre ventas de envases y embalajes";709400;"""Rappels"" sobre ventas de envases y embalajes"
7100000;710000;Variación de existencias de productos en curso;710000;Variación de existencias de productos en curso
7110000;711000;Variación existencias de productos semiterminados;711000;Variación de existencias de productos semiterminados
7120000;712000;Variación de existencias de productos terminados;712000;Variación de existencias de productos terminados
7130000;713000;Variación existencias,subprod,residuos y mat.recup;713000;Variación de existencias de subproductos, residuos y materiales recuperados
7300000;730000;Trabajos realizados para inmovilizado intangible;730000;Trabajos realizados para el inmovilizado intangible
7301000;730100;Trabajos realizados para  I.I. Dº emisión GEI;;
7310000;731000;Trabajos realizados para el inmovilizado material;731000;Trabajos realizados para el inmovilizado material
7320000;732000;Trabajos realizados en inversiones inmobiliarias;732000;Trabajos realizados en inversiones inmobiliarias
7330000;733000;Trabajos realizados para inmovilizado mat.en curso;733000;Trabajos realizados para el inmovilizado material en curso
7400000;740000;Subvenciones,donaciones y legados a la explotación;740000;Subvenciones, donaciones y legados a la explotación
7460000;746000;Subvenciones,donaciones,legados transfer.Rtdo.ejer;746000;Subvenciones, donaciones y legados de capital transferidos al resultado del ejercicio de carácter no financiero
7461000;746100;Dº emisión GEI asignados transferidos al Rdo;746100;Subvenciones, donaciones y legados de capital transferidos al resultado del ejercicio de carácter financiero
7470000;747000;Otras subvenciones,donac.y leg.transfer.a Rtdo.eje;747000;Otras subvenciones, donaciones y legados transferidos al resultado del ejercicio
7510000;751000;Pérdida transferida (gestor);751000;Pérdida transferido (gestor)
7511000;751100;Beneficio atribuido (partícipe/asociado no gestor);751100;Beneficio atribuido (partícipe o asociado no gestor)
7520000;752000;Ingresos por arrendamientos;752000;Ingresos por arrendamientos
7530000;753000;Ingresos propiedad industrial cedida en explotac.;753000;Ingresos de propiedad industrial cedida en explotación
7540000;754000;Ingresos por comisiones;754000;Ingresos por comisiones
7550000;755000;Ingresos por servicios al personal;755000;Ingresos por servicios al personal
7590000;759000;Ingresos por servicios diversos;759000;Ingresos por servicios diversos
7600000;760000;Ingresos participaciones instrum.patrimonio, grupo;760000;Ingresos de participaciones en instrumentos de patrimonio, empresas del grupo
7601000;760100;Ingresos participaciones instrum.patrimonio,asoc.;760100;Ingresos de participaciones en instrumentos de patrimonio, empresas asociadas
7602000;760200;Ingresos participaciones instrum.patrim.otras vinc;760200;Ingresos de participaciones en instrumentos de patrimonio, otras partes vinculadas
7603000;760300;Ingresos participaciones instrum.patrim.,otras emp;760300;Ingresos de participaciones en instrumentos de patrimonio, otras empresas
7610000;761000;Ingresos de valores representativos de deuda,grupo;761000;Ingresos de valores representativos de deuda, empresas del grupo
7611000;761100;Ingresos de valores representativos de deuda, asoc;761100;Ingresos de valores representativos de deuda, empresas asociadas
7612000;761200;Ingresos valores representativos deuda,otras vinc;761200;Ingresos de valores representativos de deuda, otras partes vinculadas
7613000;761300;Ingresos valores representativos deuda,otras empre;761300;Ingresos de valores representativos de deuda, otras empresas
7620000;762000;Ingresos de créditos a L/P;762000;Ingresos de créditos a largo plazo, empresas del grupo
7621000;762100;Ingresos de créditos a C/P;762100;Ingresos de créditos a corto plazo, empresas del grupo
7630000;763000;Benef.valoración acti/pasiv.fin. por valor razonab;763000;Beneficios por valoración de instrumentos financieros por su valor razonable
7660000;766000;Beneficios en valores repres.deuda L/P, grupo;766000;Beneficios en valores representativos de deuda a largo plazo, empresas del grupo
7661000;766100;Beneficios en valores repres.deuda a L/P, asoc.;766100;Beneficios en valores representativos de deuda a largo plazo, empresas asociadas
7662000;766200;Beneficios en valores repres.deuda L/P, otras vinc;766200;Beneficios en valores representativos de deuda a largo plazo, otras partes vinculadas
7663000;766300;Beneficios partic/val.repres.deuda L/P, otras emp.;766300;Beneficios en valores representativos de deuda a largo plazo, otras empresas
7665000;766500;Beneficios partic/valores repres.deuda C/P,grupo;766500;Beneficios en valores representativos de deuda a corto plazo, empresas del grupo
7666000;766600;Beneficios partic/valores repres.deuda C/P, asoc.;766600;Beneficios en valores representativos de deuda a corto plazo, empresas asociadas
7667000;766700;Beneficios en valores repres.deuda C/P,otras vinc;766700;Beneficios en valores representativos de deuda a corto plazo, otras partes vinculadas
7668000;766800;Beneficios en valores repres.deuda  C/P, otras emp;766800;Beneficios en valores representativos de deuda a corto plazo, otras empresas
7680000;768000;Diferencias positivas de cambio;768000;Diferencias positivas de cambio
7690000;769000;Otros ingresos financieros;769000;Otros ingresos financieros
7700000;770000;Beneficios procedentes del inmovilizado intangible;770000;Beneficios procedentes del inmovilizado intangible
7710000;771000;Beneficios procedentes del inmovilizado material;771000;Beneficios procedentes del inmovilizado material
7720000;772000;Beneficios procedentes de inversiones inmobiliaria;772000;Beneficios procedentes de las inversiones inmobiliarias
7733000;773300;Beneficios procedentes de particip. a L/P, grupo;773300;Beneficios procedentes de participaciones a largo plazo, empresas del grupo
7734000;773400;Beneficios procedentes de particip. a L/P, asoc.;773400;Beneficios procedentes de participaciones a largo plazo, empresas asociadas
7735000;773500;Beneficios procedentes de partic. L/P, otras vinc.;773500;Beneficios procedentes de participaciones a largo plazo, otras partes vinculadas
7750000;775000;Beneficios operaciones con obligaciones propias;775000;Beneficos por operaciones con obligaciones propias
7780000;778000;Ingresos excepcionales;778000;Ingresos excepcionales
7900000;790000;Reversión del deterioro inmovilizado intangible;790000;Reversión del deterioro del inmovilizado intangible
7910000;791000;Reversión del deterioro del inmovilizado material;791000;Reversión del deterioro del inmovilizado material
7920000;792000;Reversión del deterioro inversiones inmobiliarias;792000;Reversión del deterioro de las inversiones inmobiliarias
7930000;793000;Reversión deterioro produc.term. y en curso fabric;793000;Reversión del deterioro de productos terminados y en curso de fabricación
7931000;793100;Reversión del deterioro de mercaderías;793100;Reversión del deterioro de mercaderías
7932000;793200;Reversión del deterioro de materias primas;793200;Reversión del deterioro de materias primas
7933000;793300;Reversión del deterioro otros aprovisionamientos;793300;Reversión del deterioro de otros aprovisionamientos
7940000;794000;Reversión deterioro créditos operaciones cciales.;794000;Reversión del deterioro de créditos por operaciones comerciales
7951000;795100;Exceso de provisión para impuestos;795100;Exceso de provisión para impuestos
7952000;795200;Exceso de provisión para otras responsabilidades;795200;Exceso de provisión para otras responsabilidades
7954000;795400;Exceso de provisión por operaciones comerciales;;
7955000;795500;Exceso provisión para actuaciones medioambientales;795500;Exceso de provisión para actuaciones medioambientales
7960000;796000;Reversión deter.partic.instr. P.Neto a L/P, grupo;796000;Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas del grupo
7961000;796100;Reversión deter.partic.instr. P.Neto a L/P, asoc.;796100;Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, empresas asociadas
7962000;796200;Reversión deter.partic.instr. P.Neto L/P, ot.vinc.;796200;Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras partes vinculadas
7963000;796300;Reversión deter.partic.instr. P.Neto L/P, ot.emp.;796300;Reversión del deterioro de participaciones en instrumentos de patrimonio neto a largo plazo, otras empresas
7965000;796500;Rever.deter. de valores repres.deuda a L/P, grupo;796500;Reversión del deterioro de valores representativos de deuda a largo plazo, empresas del grupo
7966000;796600;Rever.deter.de valores repres.deuda a L/P, asoc.;796600;Reversión del deterioro de valores representativos de deuda a largo plazo, empresas asociadas
7967000;796700;Rever.deter.valores repres.deuda a L/P,otras vinc.;796700;Reversión del deterioro de valores representativos de deuda a largo plazo, otras partes vinculadas
7968000;796800;Rever.deter.valores repres.deuda a L/P,otras emp.;796800;Reversión del deterioro de valores representativos de deuda a largo plazo, otras empresas
7970000;797000;Reversión del deterioro de créditos a L/P, grupo;797000;Reversión del deterioro de créditos a largo plazo, empresas del grupo
7971000;797100;Reversión del deterioro de créditos a L/P, asoc.;797100;Reversión del deterioro de créditos a largo plazo, empresas asociadas
7972000;797200;Reversión del deterioro créditos L/P, otras vinc.;797200;Reversión del deterioro de créditos a largo plazo, otras partes vinculadas
7973000;797300;Reversión del deterioro créditos a L/P, otras emp.;797300;Reversión del deterioro de créditos a largo plazo, otras empresas
7980000;798000;Rever.deter. partic. instr.  P.Neto a C/P, grupo;798000;Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas del grupo
7981000;798100;Rever.deter. partic. instr.  P.Neto a C/P, asoc.;798100;Reversión del deterioro de participaciones en instrumentos de patrimonio neto a corto plazo, empresas asociadas
7985000;798500;Rever.deter. en val. repre.deuda a C/P, grupo;798500;Reversión del deterioro de valores representativos de deuda a corto plazo, empresas del grupo
7986000;798600;Rever.deter. en val. repre.deuda a C/P, asoc.;798600;Reversión del deterioro de valores representativos de deuda a corto plazo, empresas asociadas
7987000;798700;Rever.deter. val. repres.deuda a C/P,otras vinc.;798700;Reversión del deterioro de valores representativos de deuda a corto plazo, otras partes vinculadas
7988000;798800;Rever.deter. val. repres.deuda a C/P,de otras emp.;798800;Reversión del deterioro de valores representativos de deuda a corto plazo, otras empresas
7990000;799000;Reversión del deterioro de créditos a C/P,grupo;799000;Reversión del deterioro de créditos a corto plazo, empresas del grupo
7991000;799100;Reversión del deterioro de créditos a C/P, asoc.;799100;Reversión del deterioro de créditos a corto plazo, empresas asociadas
7992000;799200;Reversión del deterioro créditos C/P, otras vinc.;799200;Reversión del deterioro de créditos a corto plazo, otras partes vinculadas
7993000;799300;Reversión del deterioro de créditos C/P, otras emp;799300;Reversión del deterioro de créditos a corto plazo, otras empresas
