Codigo_Sage;Código Sage Recortado;Descripcion_Sage;Codigo_Odoo;Descripcion_Odoo
4758000;475800;HP, acreedora por subvenciones a reintegrar;475800;Hacienda Pública, acreedora por subvenciones a reintegrar
4760000;476000;Organismos de la Seguridad Social, acreedores;476000;Organismos de la Seguridad Social, acreedores
4770000;477000;Hacienda Pública, IVA repercutido;477000;Hacienda Pública. IVA repercutido
4790000;479000;Pasivos por diferencias temporarias imponibles;479000;Pasivos por diferencias temporarias imponibles
4800000;480000;Gastos anticipados;480000;Gastos anticipados
4850000;485000;Ingresos anticipados;485000;Ingresos anticipados
4900000;490000;Deterioro valor créditos por operaciones cciales.;490000;Deterioro de valor de créditos por operaciones comerciales
4933000;493300;Deterioro valor créditos operac.cciales.con grupo;493300;Deterioro de valor de créditos por operaciones comerciales con empresas del grupo
4934000;493400;Deterioro valor créditos operaci.cciales.con asoc.;493400;Deterioro de valor de créditos por operaciones comerciales con empresas asociadas
4935000;493500;Deterioro val.créditos oper.cciales.con otras vinc;493500;Deterioro de valor de créditos por operaciones comerciales con otras partes vinculadas
4994000;499400;Provisión por contratos onerosos;499400;Provisión por contratos onerosos
4999000;499900;Provisión para otras operaciones comerciales;499900;Provisión para otras operaciones comerciales
5000000;500000;Obligaciones y bonos a C/P;500000;Obligaciones y bonos a corto plazo
5020000;502000;Acciones o particip.C/P consideradas pasivos finan;502000;Acciones o participaciones a corto plazo consideradas como pasivos financieros
5050000;505000;Deudas represent.en otros valores negociables C/P;505000;Deudas representadas en otros valores negociables a corto plazo
5060000;506000;Intereses C/P empréstitos y emisiones análogas ;506000;Intereses a corto plazo de empréstitos y otras emisiones análogas
5070000;507000;Dividendos accion/partic.consideradas pasivos fina;507000;Dividendos de acciones o participaciones consideradas como pasivos financieros
5090000;509000;Obligaciones y bonos amortizados;509000;Obligaciones y bonos amortizados
5095000;509500;Otros valores negociables amortizados;509500;Otros valores negociables amortizados
5103000;510300;Deudas a C/P con entidades de crédito, grupo;510300;Deudas a corto plazo con entidades de crédito, empresas del grupo
5104000;510400;Deudas a C/P con entidades de crédito, asoc.;510400;Deudas a corto plazo con entidades de crédito, empresas asociadas
5105000;510500;Deudas C/P con otras entidades de crédito vincul.;510500;Deudas a corto plazo con otras entidades de crédito vinculadas
5113000;511300;Proveedores de inmovilizado a C/P, grupo;511300;Proveedores de inmovilizado a corto plazo, empresas del grupo
